500000 44
1000000 85
1500000 128
2000000 168
2500000 208
3000000 252
3500000 293
4000000 344
4500000 380
5000000 425
5500000 464
6000000 505
6500000 540
7000000 581
7500000 29535
8000000 13969
8500000 26244
9000000 10969
9500000 20293
10000000 29925
